Id,Painting_title,Youtube_src
1,A Walk in the Woods,https://www.youtube.com/embed/oh5p5f5_-7A
2,Mt. McKinley,https://www.youtube.com/embed/RInDWhYceLU
3,Ebony Sunset,https://www.youtube.com/embed/UOziR7PoVco
4,Winter Mist,https://www.youtube.com/embed/0pwoixRikn4
5,Quiet Stream,https://www.youtube.com/embed/DFSIQNjKRfk
6,Winter Moon,https://www.youtube.com/embed/loAzRUzx1wI
7,Autumn Mountain,https://www.youtube.com/embed/sDdpc8uisD0
8,Peaceful Valley,https://www.youtube.com/embed/kQlFwTOkYzg
9,Seascape,https://www.youtube.com/embed/QxcS7p1VHyQ
17,Shades of Grey,https://www.youtube.com/embed/I-ousb8-SD0
30,Winter Night,https://www.youtube.com/embed/8ysFkNYwhAE
31,Distant Hills,https://www.youtube.com/embed/8Zge88tVwjE
34,Night Light,https://www.youtube.com/embed/l141Y0x8om0
40,Purple Splendor,https://www.youtube.com/embed/hP4GfMgsNVE
43,Winter Sawscape,https://www.youtube.com/embed/lmKAwKrONmE
55,Mountain Blossoms,https://www.youtube.com/embed/UVhhStJAJZc
56,Winter Stillness,https://www.youtube.com/embed/qg9c1SqdRko
58,Ocean Sunrise,https://www.youtube.com/embed/u0Bz6TNUK1Q
60,Arizona Splendor,https://www.youtube.com/embed/spFwCh2616s
61,Anatomy of a Wave,https://www.youtube.com/embed/DFQlu6eqrBo
71,Snow Trail,https://www.youtube.com/embed/n9EsFFtwZnE
73,Horizons West,https://www.youtube.com/embed/m6UM-rN2D6s
79,Winter Cabin,https://www.youtube.com/embed/kdlHV6ceI_gw
81,Evergreens at Sunset,https://www.youtube.com/embed/YQPEy3hYGo8
83,Portrait of Sally,https://www.youtube.com/embed/MHJB0IBnuD4
105,Winter Evergreens,https://www.youtube.com/embed/O6L5YPt9CeU
109,Winter Oval,https://www.youtube.com/embed/pYWiLm_-sXw